"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"ELEMENT14";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OTHER";"PROD_ID";"STOREFRONT_ID";"URL";"VALUE";
"1";"";"CRYSTALHC49UP";"HC49UP";"X1";"CRYSTAL";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"8";"";"DIODESOD-523";"SOD-523";"D1, D2, D3, D4, D5, D6, D7, D11";"Diode";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"FE08-1";"FE08";"SV2, SV3";"FEMALE HEADER";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED3, LED4, LED5";"LED";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"M03-SCREW-5MM";"SCREWTERMINAL-5MM-3";"J3";"Header 3";"";"";"";"";"";"";"";"CONN-10134";"PRT-08433";"";"";
"6";"";"M03SCREW_LOCK";"SCREWTERMINAL-3.5MM-3_LOCK.007S";"J2, J4, J5, J6, J7, J8";"Header 3";"";"";"";"";"";"";"";"CONN-08288";"";"";"";
"2";"";"W237-102";"W237-102";"X1-MOT1, X2-MOT2";"WAGO SCREW CLAMP";"";"";"";"237-102";"unknown";"70K9898";"";"";"";"";"";
"3";"0.1uF";"C-USC0805";"C0805";"C4, C6, C7";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"1.0uF";"C-USC0805";"C0805";"C3, C5";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"10k";"R-US_M0805";"M0805";"R2(SMD), R5, R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"150";"R-US_M0805";"M0805";"R1, R2, R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"1N4148";"DIODESOD-323F";"SOD-323F";"D9";"Diode";"";"";"";"";"";"";"";"DIO-08378";"";"";"";
"6";"1k";"R-US_M0805";"M0805";"R3, R7, R9, R12, R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"20pF";"C-EUC0805";"C0805";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"240";"R-US_M0805";"M0805";"R8, R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"3k";"RESISTOR0402";"0402-RES";"R13";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"2";"4N27SM";"4N27SM";"DIL6-SMD";"OK1, OK2";"General Purpose 6-Pin Phototransistor Optocouplers";"";"";"FAIRCHILD SEMICONDUCTOR";"4N27S-M";"unknown";"05C3300";"";"";"";"";"";
"1";"7805DT";"7805DT";"TO252";"IC2";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";
"1";"ATMEGA168TQFP-08";"ATMEGA168TQFP-08";"TQFP32-08";"IC1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AVRISP-6";"AVRISP-6";"AVRISP";"ICSP-PROG-HEADER";"AVR ISP HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"G5LE";"G5LE";"G5LE";"K2";"RELAY";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"HEADER-06X1-MALE";"HEADER-06X1-MALE";"06X1-PTH";"FTDI-SERIAL-HEADER";"6 x 0.1 inch Header";"";"";"";"";"";"";"4UCON 00834";"";"";"http://www.4uconnector.com/online/SearchPro.asp?FormName=ProSearch&FormAction=search&s_GroupNo=&s_keyword=00834";"";
"1";"L298HEATSINK";"L298HEATSINK";"MULTIWATT15_6400BGHEATSINK";"U1";"L298 Dual Full Bridge Driver";"";"";"";"";"";"";"";"";"";"";"";
"1";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Q1";"Generic NPN BJT";"";"";"";"";"";"";"";"TRANS-08049";"";"";"MMBT2222A";
"1";"MOMENTARYBUTTON";"MOMENTARYBUTTON";"SPST_NO_SMD";"SW2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"J1";"Power Jack";"";"";"";"";"";"";"";"CONN-08197";"";"";"";
"1";"Zener";"DIODESOD-323F";"SOD-323F";"D10";"Diode";"";"";"";"";"";"";"";"";"";"";"";
